date,symbol,open,high,low,close,volume,change,changePercent,vwap,changeOverTime,label,unadjustedVolume,adjClose
2021-04-13,META,312.21,314.43,309.32,309.76,14036927,-2.45,-0.78473,311.43,0.14315237849208384,2021-04-13,14036927,309.76
2021-04-14,META,307.3,308.03,301.95,302.82,17421400,-4.48,-1.46,305.025,0.11754068716094013,2021-04-14,17421400,302.82
2021-04-15,META,306.34,310.14,304.1,307.82,14558300,1.48,0.48312,307.1,0.13599291434476135,2021-04-15,14558300,307.82
2021-04-16,META,308.17,308.95,304.61,306.18,13059200,-1.99,-0.64575,306.9775,0.12994058382846796,2021-04-16,13059200,306.18
2021-04-19,META,305.01,307.7,300.56,302.24,14553507,-2.77,-0.90817,303.8775,0.11540022880761702,2021-04-19,14553507,302.24
2021-04-20,META,301.99,305.1,297.21,302.65,16796442,0.66,0.21855,301.7375,0.11691331143669026,2021-04-20,16796442,302.65
2021-04-21,META,301.95,301.98,297.39,301.47,14863500,-0.475,-0.15897,300.6975,0.11255858582130851,2021-04-21,14863500,301.47
2021-04-22,META,301.33,302.92,296.04,296.52,16375400,-4.81,-1.6,299.2025,0.09429088090932547,2021-04-22,16375400,296.52
2021-04-23,META,298.76,302.59,297.15,301.13,17559498,2.37,0.79328,299.9075,0.11130383437280877,2021-04-23,17559498,301.13
2021-04-26,META,303.34,305.8,301.56,303.04,16172600,-0.2996,-0.09889893,303.435,0.1183525851570284,2021-04-26,16172600,303.04
2021-04-27,META,304.28,305.34,301.11,303.57,15309300,-0.71,-0.23334,303.575,0.12030852123851332,2021-04-27,15309300,303.57
2021-04-28,META,307.36,310.92,305.37,307.1,33907210,-0.26,-0.08459136,307.6875,0.13333579363029124,2021-04-28,33907210,307.1
2021-04-29,META,330.12,331.81,321.61,329.51,56526800,-0.61,-0.18478,328.2625,0.21603867586817715,2021-04-29,56526800,329.51
2021-04-30,META,326.14,329.82,324.5,325.08,26332423,-1.06,-0.32501,326.385,0.1996900025833117,2021-04-30,26332423,325.08
2021-05-03,META,326.17,328.55,321.84,322.58,18719500,-3.59,-1.1,324.785,0.190463888991401,2021-05-03,18719500,322.58
2021-05-04,META,320.02,322.19,313.12,318.36,24032600,-1.66,-0.51872,318.4225,0.17489020924825627,2021-05-04,24032600,318.36
2021-05-05,META,318.19,321.06,314.49,315.02,15577605,-3.17,-0.99626,317.19,0.16256412148946353,2021-05-05,15577605,315.02
2021-05-06,META,314.52,320.24,313.27,320.02,19012241,5.5,1.75,317.0125,0.18101634867328475,2021-05-06,19012241,320.02
2021-05-07,META,322.38,322.94,318.75,319.08,15916743,-3.3,-1.02,320.7875,0.17754732996272637,2021-05-07,15916743,319.08
2021-05-10,META,314.35,314.58,304.83,305.97,24239200,-8.38,-2.67,309.9325,0.12916559028674768,2021-05-10,24239200,305.97
2021-05-11,META,300.75,306.84,299.69,306.53,18920100,5.78,1.92,303.4525,0.13123223973133546,2021-05-11,18920100,306.53
2021-05-12,META,301.13,304.96,298.19,302.55,24645500,1.42,0.47156,301.7075,0.11654426689301389,2021-05-12,24645500,302.55
2021-05-13,META,306.08,308.86,302.77,305.26,18079200,-0.8233,-0.2679,305.7425,0.1265453740266449,2021-05-13,18079200,305.26
